decade,position,artist,album,indicativerevenue,us,uk,de,fr,ca,au
"2000s","81","Sting","Brand New Day","59417.5176647171","9","11","9","12","-","26"
"2000s","82","Celine Dion","A New Day Has Come","58914.727793069","1","1","2","1","1","1"
"2000s","83","Josh Groban","Josh Groban","58556.7319465136","8","28","-","50","6","28"
"2000s","84","Avril Lavigne","Under My Skin","58405.1630268808","1","1","1","4","1","1"
"2000s","85","Coldplay","Parachutes","58247.7684045825","51","1","54","31","19","2"
"2000s","86","Macy Gray","On How Life Is","58213.0348387342","4","3","19","24","2","1"
"2000s","87","Linkin Park","Minutes To Midnight","58053.4666096563","1","1","1","1","1","1"
"2000s","88","Lenny Kravitz","Greatest Hits","58028.1382043457","2","12","2","-","2","14"
"2000s","89","Staind","Break The Cycle","58001.8163418331","1","1","5","48","1","18"
"2000s","90","Gretchen Wilson","Here For The Party","57776.2179263536","2","60","-","-","-","21"
"2000s","91","Kid Rock","Cocky","57680.8524126652","3","-","15","-","-","21"
"2000s","92","Keane","Hopes & Fears","57621.9617784733","45","1","30","5","-","42"
"2000s","93","Josh Groban","Closer","57549.9141818641","1","91","13","47","2","25"
"2000s","94","Toby Keith","Unleashed","57480.0570483457","1","-","-","-","-","-"
"2000s","95","Creed","Weathered","57215.2937987358","1","44","8","101","3","3"
"2000s","96","Destiny's Child","Survivor","57157.729320862","1","1","1","4","1","4"
"2000s","97","50 Cent","The Massacre","57142.5577316981","1","1","1","3","1","2"
"2000s","98","Nelly Furtado","Whoa Nelly","56246.1317936449","24","2","14","46","2","4"
"2000s","99","Craig David","Born To Do It","56158.8614982397","11","1","3","5","3","2"
"2000s","100","John Mayer","Room For Squares","56089.8317973466","8","-","55","-","9","5"
"2000s","101","Elvis Presley","Elv1s - 30 Number 1 Hits","55537.0680177838","1","1","3","65","1","1"
"2000s","102","Fergie","The Dutchess","55184.1480806339","2","18","11","44","4","1"
